name,latitude,longitude,room type,price,reviews per month
"Times Square, Safe, Clean and Cozy!",40.75527,-73.99291,Private room,59,3
Stylish Arty Brooklyn Appartment #4,40.6866,-73.99123,Entire home/apt,190,3
Cozy Bedroom in BK Apt,40.67579,-73.9679,Private room,71,3
"Spacious room in fun, quiet house",40.68018,-73.97596,Private room,115,3
Beach Lovers Dream!,40.58921,-73.79479,Entire home/apt,89,3
Charming Cottage in Huge Victorian,40.6394,-73.95136,Entire home/apt,77,3
"Sunshine 1BR Apt near M&L Subways, Kitchenette",40.69979,-73.92261,Entire home/apt,115,3
3 bedroom in the heart of Manhattan,40.75981,-73.99071,Entire home/apt,400,3
Charming and Private Clinton Hill Hide-Away,40.68229,-73.96154,Entire home/apt,160,3
Beautiful Room in Bed-Stuy w/ Bridge Theme,40.69379,-73.93645,Private room,37,3
HUGE PRISTINE VERSACE DUPLEX APT. IN BROOKLYN,40.69171,-73.9575,Entire home/apt,195,3
Red Flower,40.8225,-73.94493,Entire home/apt,200,3
★ Business Getaway ★ Cozy & Warm | Laptop Friendly,40.83336,-73.88636,Private room,75,3
Spacious Room only minutes away from 125th area,40.81248,-73.9526,Private room,58,3
Charming Private Bedroom & Bathroom in Flushing,40.74652,-73.82873,Private room,40,3
Sky Cabin in Hell’s Kitchen! Steps to Times Square,40.76564,-73.99118,Private room,125,3
10 mins/Airports JFK/LGA/Hosp/malls bus/train#2,40.68932,-73.82047,Private room,35,3
Great Place! Great Space! Welcome 2 My BK Place!,40.65948,-73.90084,Entire home/apt,175,3
Cozy Respite in the HeART of Bushwick,40.69874,-73.92496,Private room,40,3
Greenpoint Loft with True Brooklyn Flavor,40.72612,-73.95691,Entire home/apt,125,3
"The Photographer Room in Private Home, Near Metro",40.88004,-73.9,Private room,79,3
Modern and spacious 2 bedroom in Manhattan,40.72189,-73.98219,Entire home/apt,260,3
Modern Space in Charming Pre-war #2,40.82414,-73.95139,Private room,65,3
Simple and Chic Studio Union Square/ East Village,40.7326,-73.98681,Entire home/apt,200,3
Charming Studio in the Heart of Astoria,40.75717,-73.92831,Entire home/apt,100,3
曼哈顿/帝国大夏/ time square【2】,40.74756,-73.99072,Private room,165,3
Beautiful room in a newly renovated apartment!,40.7956,-73.97219,Private room,90,3
"Large, Sunny Retreat- B/Q subway, Prospect Park!",40.65131,-73.96307,Private room,70,3
Sanctuary Apartment in Ideal NYC Location,40.71787,-73.99461,Entire home/apt,100,3
Cozy room in hip Lower East Side neighborhood,40.71924,-73.98507,Private room,83,3
Chambers Queen - Modernist Room | Minutes from 5th,40.7637,-73.97422,Private room,191,3
Private cozy room after long day exploring NYC,40.77143,-73.94893,Private room,90,3
Private shared space TV/WiFi included bus/train,40.83815,-73.94385,Private room,40,3
Stay in Lovely 2 BR/1 BA Flatbush Apartment,40.64874,-73.94467,Entire home/apt,150,3
Art Life in the City – from Brooklyn to Manhattan,40.71228,-73.93782,Private room,72,3
"Awesome Studio-Apt near Times Square, super quiet",40.76239,-73.99119,Entire home/apt,199,3
Entire Basement Apartment near LGA,40.76592,-73.87388,Entire home/apt,60,3
Nice Private Room w/ 2 Beds,40.83414,-73.9438,Private room,70,3
Luxury private whole apartment 6 people Bushwick!!,40.68382,-73.91467,Entire home/apt,97,3
Bright and airy 2 bedroom near Prospect Park,40.65344,-73.94547,Entire home/apt,120,3
Large 3 BR In LIC/Astoria- 2 Blocks From Subway,40.76061,-73.92812,Entire home/apt,149,3
Sonder | Stock Exchange | Peaceful 1BR + Sofa Bed,40.70623,-74.01198,Entire home/apt,229,3
Sonder | Stock Exchange | Tasteful 3BR + Kitchen,40.70632,-74.0116,Entire home/apt,468,3
Brownstone Brooklyn with a View,40.65814,-73.9588,Private room,158,3
Private room in cute Greenwich Village Walk-up,40.73238,-73.99954,Private room,110,3
Spacious 1 Bedroom in the West Village,40.73341,-74.00444,Entire home/apt,197,3
Chic and Cosy Private Room in Hells Kitchen,40.76094,-73.99129,Private room,120,3
1920's Historic Home near JFK and LGA Airport,40.69911,-73.78196,Entire home/apt,122,3
Spacious comfy apt near L/G/J/M with covered patio,40.70856,-73.94777,Entire home/apt,200,3
LOVE this Bed-Stuy Open Concept @SpotlessRock,40.68704,-73.9304,Private room,80,3
DITMAS PARK/FLATBUSH Private Rm with LOTS of Light,40.64299,-73.95954,Private room,45,3
"Beautiful, spacious three bedroom apt with terrace",40.71198,-73.94191,Entire home/apt,285,3
Beautiful Bed-Stuy Brownstone w/ Outdoor Oasis,40.68164,-73.9262,Entire home/apt,199,3
Cozy East Village walk up,40.72958,-73.98569,Entire home/apt,151,3
Duplex Townhouse in Heart of Williamsburg,40.71912,-73.94296,Entire home/apt,327,3
Comfy & Cheerful Oasis in Vibrant Neighborhood,40.7198,-73.94125,Entire home/apt,171,3
"Access to public transportation
Near shopping area",40.61326,-73.94742,Private room,100,3
Private Spacious Bedroom in lush green Fort George,40.85719,-73.93048,Private room,35,3
Beautiful 2BR Bed Stuy Apartment,40.67917,-73.94624,Entire home/apt,150,3
Manhattan/帝国大夏/ time square【3】,40.74578,-73.99091,Private room,130,3
Sonder | Stock Exchange | Superior 1BR + Laundry,40.70631,-74.01225,Entire home/apt,228,3
Affordable Studio Close to All the Action,40.74694,-74.0013,Entire home/apt,100,3
Sonder | Stock Exchange | Superior 2BR + Laundry,40.70776,-74.01169,Entire home/apt,396,3
BRIGHT SUNNY ONE BEDROOM APT WITH TERRACE,40.59725,-73.97684,Entire home/apt,99,3
Couch surfing at the sanctuary,40.63964,-73.94362,Shared room,50,3
Flamingo Paradiso East,40.71239,-73.95037,Entire home/apt,100,3
Sonder | Stock Exchange | Gorgeous 1BR + Laundry,40.70756,-74.01229,Entire home/apt,210,3
3 Bedroom Loft Like Unit 5 minutes from train,40.59145,-73.98546,Entire home/apt,129,3
Captivating Central Park TownHouse 3Bed/2BA,40.78402,-73.95201,Entire home/apt,399,3
SINGLE ROOM AVAILABLE IN JAMAICA NEAR JFK & LGA,40.71702,-73.76761,Private room,50,3
Peaceful loft ‘2’,40.79072,-73.93972,Private room,85,3
Beautiful Apartment in Hamilton Heights,40.8212,-73.95479,Entire home/apt,115,3
Brand New PRIVATE garden level- Close to airport,40.6819,-73.89097,Entire home/apt,135,3
Midtown Manhattan - Private room,40.75628,-73.98356,Private room,100,3
Midtown Manhattan Stunner - Private room,40.75491,-73.98507,Private room,100,3
450 West,40.8362,-73.94063,Private room,65,3
NEW Sunny Light filled 1BR Apartment in Brooklyn!,40.69241,-73.95793,Entire home/apt,149,3
Art and Plant filled 2 BR APT near L Train.,40.69437,-73.89883,Entire home/apt,150,3
Peaceful loft “3”,40.79155,-73.94141,Private room,85,3
Exclusive Modern Deluxe Room in the heart of NYC!,40.74674,-73.98735,Private room,100,3
Charming Studio in Meatpacking District/Chelsea,40.74024,-74.00484,Entire home/apt,220,3
Beautiful Studio Steps from Subway (GREEN),40.64017,-73.96417,Entire home/apt,85,3
Extra room 420friendly & breakfast,40.82831,-73.88746,Private room,80,3
Hostal Home - Welcome Home,40.70091,-73.81359,Private room,80,3
East Village Room,40.72504,-73.97908,Private room,70,3
Become a New Yorker in Bushwick!,40.69941,-73.91186,Private room,70,3
AMAZING 3 BEDROOM APT IN BROOKLYN NY,40.71853,-73.94808,Entire home/apt,659,3
☆ ❣  Cozy 2 ideal location| private entrance ☆ ❣,40.75652,-73.81368,Entire home/apt,99,3
✰ RARE FIND ✰ PRIVATE PATIO ✰,40.75935,-73.96471,Entire home/apt,289,3
Affordable 2 bedroom in hell's kitchen,40.76885,-73.98611,Entire home/apt,289,3
Incredible Industrial Loft 1BR in Williamsburg,40.71706,-73.95988,Entire home/apt,375,3
R2 Private Queen Room  LGA JFK Manhattan 15 min!,40.72582,-73.86572,Private room,85,3
✨Modern NYC bedroom ￨5 minutes to Empire State✨,40.75175,-73.97382,Private room,140,3
FLATIRON LOFT 5 STAR,40.73817,-73.98903,Entire home/apt,850,3
Best Street in Soho! Awesome Sunny Private Room,40.72627,-74.00104,Private room,85,3
clean + cute room in williamsburg,40.70877,-73.95064,Private room,80,3
Cozy 1bedroom apt/Manhattan/East side,40.77821,-73.95504,Entire home/apt,150,3
"3 bedroom, 2 baths duplex apt w/all new furniture",40.67337,-73.88846,Entire home/apt,225,3
Cozy 2Bed in the Heart of East Village!,40.725,-73.97903,Entire home/apt,320,3
Small Studio/Private Room - Heart of East Village,40.72657,-73.98757,Private room,100,3
Spacious Midtown East Studio,40.7601,-73.97042,Entire home/apt,179,3
Beautiful Studio APT in the heart of K-TOWN,40.7482,-73.98599,Entire home/apt,180,3
"Bronx, Little Italy, Arthur Ave, Fordham, Yanks.",40.85539,-73.88769,Private room,69,3
Modern Luxury near Gramercy Park: 3 Bed/2 Bath,40.74525,-73.97225,Entire home/apt,385,3
Gorgeous Downtown Flat With Huge Rooftop Terrace,40.75911,-73.97011,Entire home/apt,479,3
Amazing Location! 1 Bedroom Apartment Downtown,40.76044,-73.97012,Entire home/apt,199,3
NYC Prime Location! Beautiful Big Apartment! Enjoy,40.82132,-73.95441,Private room,57,3
"Clean, Cozy, Private Bath &  Bedroom  Apartment",40.81869,-73.82233,Entire home/apt,99,3
3 rooms apartment in Downtown Flushing!,40.75837,-73.82529,Entire home/apt,90,3
"Large, Cozy Escape in B'klyn.",40.67653,-73.93556,Private room,55,3
Luxury & Stylish 2BR in Manhattan next to Time Sq,40.76077,-73.99427,Entire home/apt,425,3
Coolest affordable room in Williamsburg!,40.70552,-73.94223,Private room,52,3
Wow Fabulous Hell's Kitchen Place,40.76277,-73.99594,Entire home/apt,300,3
Quaint Ground Floor Midtown 1 Bed | Outdoor Patio,40.76102,-73.96431,Entire home/apt,210,3
Affordable Suite Steps from Central Park,40.76593,-73.98087,Private room,399,3
Beautiful 2BR APT in Hell's Kitchen!,40.76183,-73.9916,Entire home/apt,250,3
Spacious + Modern 2 BR 1.5 Bath in premium UES,40.77625,-73.9558,Entire home/apt,229,3
Stunning Park Slope Duplex (15 Mins to Manhattan!),40.65957,-73.98376,Entire home/apt,450,3
Steps to Yankee Stadium ⚾ Minutes to Times Square,40.82788,-73.92604,Entire home/apt,88,3
AMAZING 1 BEDROOM !!! NEAR TIMES SQUARE,40.76433,-73.98932,Entire home/apt,163,3
WEST VILLAGE Duplex Diamond,40.73705,-74.00966,Entire home/apt,995,3
"LUXURY LOFT 20 MIN TO MANHATTAN - GYM,ROOF&LAUNDRY",40.69857,-73.9261,Entire home/apt,275,3
Cozy Airy w/Plenty of Sunlight Decatur 3FL RM#3,40.68682,-73.90831,Private room,70,3
Spacious & Sunny Decatur 2F Room#3,40.68675,-73.909,Private room,60,3
Born to Be ALIVE in Hell's Kitchen,40.76235,-73.99485,Entire home/apt,500,3
Chelsea HIGHLINE Prime Location,40.749,-74.00244,Entire home/apt,300,3
Bright & stylish 2BR in Manhattan,40.76028,-73.99665,Entire home/apt,395,3
Stylish 2 BR Apartment in downtown Manhattan,40.71083,-74.00803,Entire home/apt,280,3
Brand New 2 Bedroom Apartment Next To Times Square,40.76187,-73.98599,Entire home/apt,249,3
Spacious Duplex Family Home | 10 min to Midtown,40.76383,-73.9297,Entire home/apt,275,3
Casa Renovare (Recycle House) Crown Heights 4BR,40.67385,-73.92071,Entire home/apt,295,3
Elmhurst Front Bedroom,40.76251,-73.86722,Private room,49,3
Gorgeous One Bedroom Apartment With Private Garden,40.80618,-73.94618,Entire home/apt,179,3
Lush apartment with space and charm.,40.81203,-73.90779,Private room,50,3
Prime Modern 2 BR East Village Apt nearby Subway,40.72896,-73.99201,Entire home/apt,199,3
Beautifu 3 BR in Times Sq: Best Location in NYC,40.75606,-73.98871,Entire home/apt,480,3
Sun filled gem in the heart of Williamsburg,40.71599,-73.96159,Entire home/apt,198,3
MODERN 3 BEDROOM APARTMENT NEAR CENTRAL PARK,40.76828,-73.98755,Entire home/apt,250,3
Fabulous 3BR in Prime Times Square,40.76235,-73.98995,Entire home/apt,335,3
Modern Family Home w/ Patio | 10 min to Manhattan,40.7592,-73.92155,Entire home/apt,300,3
Sunny and homey private room with bathroom,40.65377,-73.95927,Private room,69,3
Newly Renovated Apartment 47 Buffalo 3F Room#4,40.67838,-73.92349,Private room,60,3
Two Bedroom Apartment with Kitchen and Four Beds.,40.75606,-73.99374,Entire home/apt,279,3
Private Room in Luxury Penthouse Apartment,40.65539,-73.94961,Private room,175,3
Private studio in Central Harlem brownstone,40.80474,-73.94118,Entire home/apt,110,3
Entire Midwood Brooklyn apartment newly renovated!,40.60795,-73.95218,Entire home/apt,120,3
Sunny Practical Apt in Williamsburg BK!!!,40.711,-73.96147,Entire home/apt,139,3
Spacious & Sunny 1 BR Apartment In Midtown W Patio,40.76285,-73.98609,Entire home/apt,189,3
"Bright, Spacious, Royal Luxury Escape",40.85609,-73.93166,Entire home/apt,160,3
Spacious Studio ⭐in the heart of NYC,40.73194,-74.00369,Entire home/apt,220,3
Modern 2 Bedroom Apartment East Village,40.72699,-73.98576,Entire home/apt,226,3
Two  Bedroom in 2 Family House in Brooklyn,40.68722,-73.91962,Entire home/apt,150,3
2 Bedroom Times Square/Central Park |LOCATION|,40.75949,-73.99367,Entire home/apt,250,3
MidCentury Triplex near Times Square/Hells Kitchen,40.7592,-73.98894,Entire home/apt,650,3
CRASH PAD  IN NYC,40.75009,-73.87799,Shared room,30,3
Stunning Apartment near Time Square,40.76288,-73.9915,Entire home/apt,223,3
Beautiful Luxury Studio on Wall St- Sleeps up to 4,40.70606,-74.00899,Entire home/apt,199,3
Oversized Studio in the Heart of Midtown,40.7575,-73.9643,Entire home/apt,185,3
"Sunny, spacious  Brooklyn apt - solo woman only",40.64635,-73.95474,Shared room,30,3
Brand New Spacious 2 Bedroom Apt Near Times Square,40.75259,-73.9942,Entire home/apt,220,3
4 Bedroom apartment in  2 family house in Brooklyn,40.68919,-73.92553,Entire home/apt,190,3
Geraldine's  1 BR APT 5 min from JFK,40.67634,-73.79687,Private room,65,3
Cozy Nights In The Village,40.72175,-73.98259,Entire home/apt,400,3
Mid-Century Modern near Madison Square Park,40.74055,-73.98522,Entire home/apt,450,3
AMAZING TWO BEDROOMS IN THE BEST PART OF BROOKLYN!,40.70599,-73.94817,Entire home/apt,299,3
Lovely Private 1 bed + 1 bath in my shared duplex,40.77005,-73.95926,Entire home/apt,119,3
"Spacious Bushwick 3BR, 2.5 Bath (Steps to Subway!)",40.69403,-73.91991,Entire home/apt,475,3
FLATBUSH PLACE TO STAY AND GO attractions nearby,40.64685,-73.96102,Private room,50,3
New Gorgeous 2 BED apt Lower East Side,40.72232,-73.99256,Entire home/apt,350,3
Private Patio Williamsburg 2BD/2BA Next to Subway!,40.71418,-73.93837,Entire home/apt,465,3
"Subway 1 min , Manhattan 10 min. Modern & Cozy",40.75809,-73.91271,Private room,50,3
Perfectly Located Apartment in Gramercy,40.73975,-73.98511,Entire home/apt,100,3
Private Single Room in UWS near to Central Park,40.80102,-73.96669,Private room,60,3
Luxury building close to Yankees stadium,40.84631,-73.91641,Entire home/apt,150,3
"Comfort, Safety, Style, Right by L Train",40.70545,-73.93273,Private room,75,3
Union Square/East Village Flat,40.7316,-73.98576,Entire home/apt,179,3
Clean Affordable Luxury Studio on Wall St,40.70611,-74.00773,Entire home/apt,205,3
Beautiful charming 3 bedroom apt off broadway,40.80099,-73.96514,Entire home/apt,305,3
Empire State Studio Apt,40.74307,-73.98386,Entire home/apt,170,3
"BEST LOCATION IN WILLIAMSBURG, CLOSE TO SUBWAY",40.71243,-73.9604,Entire home/apt,160,3
Peace and Comfort,40.68036,-73.72716,Private room,75,3
nice room in bedstuy E,40.68382,-73.95022,Private room,45,3
Fantastic 2BRM - 2 Minute Walk to Times Square,40.7607,-73.99033,Entire home/apt,320,3
2 bd 2 bath Penthouse Apartment Manhattan,40.80144,-73.94463,Private room,180,3
Zebra Room,40.80386,-73.95065,Private room,65,3
1 Private bedroom in a spacious Wburg Apartment,40.70924,-73.95208,Private room,57,3
Midtown 2 Bedroom w King bed near Madison Ave,40.74825,-73.98101,Entire home/apt,239,3
Best place to stay ⚓⚓⚓ with friends,40.80775,-73.93767,Private room,210,3
perfect location to experience the Big Apple,40.6765,-73.81947,Entire home/apt,150,3
"Elegant Times Square Apartment, with City Views!!!",40.75597,-73.99457,Entire home/apt,251,3
LOVELY separate apartment in Bedstuy brownstone,40.68273,-73.9193,Entire home/apt,118,3
Great studio located in Heart of Chelsea,40.7503,-73.99746,Entire home/apt,175,3
"Best SOHO LOCATION, 2 BEDROOMS",40.72226,-73.99351,Entire home/apt,400,3
Studio w Laundry Minutes from Major Attractions ☆,40.74335,-73.98287,Entire home/apt,250,3
PAULINE'S PLACE 1 BR APT 5 Min from JFK,40.67632,-73.79856,Private room,70,3
The Jamaica Experience,40.70477,-73.80335,Entire home/apt,44,3
Cool palce ✌✌✌ for 2 people,40.80935,-73.93812,Private room,270,3
Rose's Brooklyn Oasis 2 - Close to Subway!,40.64457,-73.94915,Private room,35,3
Cozy Home in the suburbs,40.71797,-73.78478,Private room,50,3
Sparkling 3BR near subway/beach - with a yard!,40.59301,-73.975,Entire home/apt,140,3
Comfy house close to Central Brooklyn,40.65937,-73.9348,Private room,59,3
LIC Jackson park luxury apartment Queen Plaza,40.74776,-73.93869,Private room,65,3
"The Gallery Bed & Breakfast in Bed-Stuy, Brooklyn",40.68794,-73.93626,Private room,175,3
Cozy UWS Only two blocks away from Central Park!,40.78527,-73.97623,Private room,150,3
Beautiful location for enjoy in NYC,40.7388,-73.92282,Private room,65,3
Artists cave,40.72555,-73.98198,Entire home/apt,145,3
TWO BEDROOM IN BEST PART OF BROOKLYN!! SLEEPS 6!!,40.69069,-73.9298,Entire home/apt,399,3
SO CHILL!! Very spacious and cozy bk apartment !!,40.70146,-73.91932,Entire home/apt,75,3
"private room & bathroom, 500 ft away from beach.",40.58921,-73.79967,Private room,75,3
Spacious Modern Apt. Near JFK Airport and Trains,40.68636,-73.78866,Entire home/apt,129,3
★NYC Place with  Private Garden★sleep 4★,40.69266,-73.92684,Private room,99,3
Calming Place,40.68263,-73.72597,Private room,79,3
Gorgeous Harlem Hideout | Close to Everything,40.83029,-73.94191,Private room,60,3
